index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125,1768,-4.40184
1,10,1,0.0025,1767,-4.41692
2,10,2,0.00375,1766,-4.432
3,10,3,0.005,1767,-4.41692
4,10,4,0.00625,1767,-4.41692
5,10,5,0.0075,1766,-4.432
6,10,6,0.00875,1766,-4.432
7,10,7,0.01,1766,-4.432
8,11,0,0.01125,1766,-4.432
9,11,1,0.0125,1766,-4.432
10,11,2,0.01375,1765,-4.44707
11,11,3,0.015,1765,-4.44707
12,11,4,0.01625,1764,-4.46215
13,11,5,0.0175,1764,-4.46215
14,11,6,0.01875,1764,-4.46215
15,11,7,0.02,1764,-4.46215
16,12,0,0.02125,1764,-4.46215
17,12,1,0.0225,1764,-4.46215
18,12,2,0.02375,1763,-4.47723
19,12,3,0.025,1764,-4.46215
20,12,4,0.02625,1764,-4.46215
21,12,5,0.0275,1763,-4.47723
22,12,6,0.02875,1763,-4.47723
23,12,7,0.03,1763,-4.47723
24,13,0,0.03125,1762,-4.49231
25,13,1,0.0325,1763,-4.47723
26,13,2,0.03375,1762,-4.49231
27,13,3,0.035,1762,-4.49231
28,13,4,0.03625,1762,-4.49231
29,13,5,0.0375,1762,-4.49231
30,13,6,0.03875,1761,-4.50739
31,13,7,0.04,1762,-4.49231
32,14,0,0.04125,1761,-4.50739
33,14,1,0.0425,1761,-4.50739
34,14,2,0.04375,1761,-4.50739
35,14,3,0.045,1761,-4.50739
36,14,4,0.04625,1761,-4.50739
37,14,5,0.0475,1761,-4.50739
38,14,6,0.04875,1760,-4.52247
39,14,7,0.05,1760,-4.52247
40,15,0,0.05125,1760,-4.52247
41,15,1,0.0525,1760,-4.52247
42,15,2,0.05375,1760,-4.52247
43,15,3,0.055,1760,-4.52247
44,15,4,0.05625,1759,-4.53755
45,15,5,0.0575,1760,-4.52247
46,15,6,0.05875,1760,-4.52247
47,15,7,0.06,1760,-4.52247
48,16,0,0.06125,1759,-4.53755
49,16,1,0.0625,1760,-4.52247
50,16,2,0.06375,1759,-4.53755
51,16,3,0.065,1760,-4.52247
52,16,4,0.06625,1759,-4.53755
53,16,5,0.0675,1759,-4.53755
54,16,6,0.06875,1759,-4.53755
55,16,7,0.07,1759,-4.53755
56,17,0,0.07125,1759,-4.53755
57,17,1,0.0725,1759,-4.53755
58,17,2,0.07375,1759,-4.53755
59,17,3,0.075,1759,-4.53755
60,17,4,0.07625,1759,-4.53755
61,17,5,0.0775,1760,-4.52247
62,17,6,0.07875,1759,-4.53755
63,17,7,0.08,1760,-4.52247
64,18,0,0.08125,1759,-4.53755
65,18,1,0.0825,1759,-4.53755
66,18,2,0.08375,1759,-4.53755
67,18,3,0.085,1759,-4.53755
68,18,4,0.08625,1759,-4.53755
69,18,5,0.0875,1760,-4.52247
70,18,6,0.08875,1759,-4.53755
71,18,7,0.09,1759,-4.53755
72,19,0,0.09125,1759,-4.53755
73,19,1,0.0925,1759,-4.53755
74,19,2,0.09375,1759,-4.53755
75,19,3,0.095,1760,-4.52247
76,19,4,0.09625,1760,-4.52247
77,19,5,0.0975,1760,-4.52247
78,19,6,0.09875,1759,-4.53755
79,19,7,0.1,1759,-4.53755
80,20,0,0.10125,1759,-4.53755
81,20,1,0.1025,1760,-4.52247
82,20,2,0.10375,1759,-4.53755
83,20,3,0.105,1760,-4.52247
84,20,4,0.10625,1760,-4.52247
85,20,5,0.1075,1760,-4.52247
86,20,6,0.10875,1759,-4.53755
87,20,7,0.11,1759,-4.53755
88,21,0,0.11125,1759,-4.53755
89,21,1,0.1125,1760,-4.52247
90,21,2,0.11375,1760,-4.52247
91,21,3,0.115,1760,-4.52247
92,21,4,0.11625,1760,-4.52247
93,21,5,0.1175,1760,-4.52247
94,21,6,0.11875,1760,-4.52247
95,21,7,0.12,1760,-4.52247
96,22,0,0.12125,1760,-4.52247
97,22,1,0.1225,1761,-4.50739
98,22,2,0.12375,1760,-4.52247
99,22,3,0.125,1760,-4.52247
100,22,4,0.12625,1761,-4.50739
101,22,5,0.1275,1761,-4.50739
102,22,6,0.12875,1761,-4.50739
103,22,7,0.13,1762,-4.49231
104,23,0,0.13125,1761,-4.50739
105,23,1,0.1325,1762,-4.49231
106,23,2,0.13375,1762,-4.49231
107,23,3,0.135,1762,-4.49231
108,23,4,0.13625,1762,-4.49231
109,23,5,0.1375,1763,-4.47723
110,23,6,0.13875,1762,-4.49231
111,23,7,0.14,1763,-4.47723
112,24,0,0.14125,1762,-4.49231
113,24,1,0.1425,1763,-4.47723
114,24,2,0.14375,1762,-4.49231
115,24,3,0.145,1763,-4.47723
116,24,4,0.14625,1763,-4.47723
117,24,5,0.1475,1764,-4.46215
118,24,6,0.14875,1764,-4.46215
119,24,7,0.15,1764,-4.46215
120,25,0,0.15125,1764,-4.46215
121,25,1,0.1525,1765,-4.44707
122,25,2,0.15375,1764,-4.46215
123,25,3,0.155,1765,-4.44707
124,25,4,0.15625,1765,-4.44707
125,25,5,0.1575,1765,-4.44707
126,25,6,0.15875,1765,-4.44707
127,25,7,0.16,1766,-4.432
128,26,0,0.16125,1766,-4.432
129,26,1,0.1625,1766,-4.432
130,26,2,0.16375,1766,-4.432
131,26,3,0.165,1767,-4.41692
132,26,4,0.16625,1767,-4.41692
133,26,5,0.1675,1767,-4.41692
134,26,6,0.16875,1768,-4.40184
135,26,7,0.17,1767,-4.41692
136,27,0,0.17125,1768,-4.40184
137,27,1,0.1725,1768,-4.40184
138,27,2,0.17375,1768,-4.40184
139,27,3,0.175,1768,-4.40184
140,27,4,0.17625,1769,-4.38676
141,27,5,0.1775,1770,-4.37168
142,27,6,0.17875,1770,-4.37168
143,27,7,0.18,1770,-4.37168
144,28,0,0.18125,1770,-4.37168
145,28,1,0.1825,1771,-4.3566
146,28,2,0.18375,1770,-4.37168
147,28,3,0.185,1771,-4.3566
148,28,4,0.18625,1771,-4.3566
149,28,5,0.1875,1772,-4.34153
150,28,6,0.18875,1772,-4.34153
151,28,7,0.19,1773,-4.32645
152,29,0,0.19125,1772,-4.34153
153,29,1,0.1925,1773,-4.32645
154,29,2,0.19375,1773,-4.32645
155,29,3,0.195,1774,-4.31137
156,29,4,0.19625,1774,-4.31137
157,29,5,0.1975,1774,-4.31137
158,29,6,0.19875,1774,-4.31137
159,29,7,0.2,1775,-4.29629
160,30,0,0.20125,1775,-4.29629
161,30,1,0.2025,1775,-4.29629
162,30,2,0.20375,1775,-4.29629
163,30,3,0.205,1776,-4.28121
164,30,4,0.20625,1776,-4.28121
165,30,5,0.2075,1777,-4.26613
166,30,6,0.20875,1777,-4.26613
167,30,7,0.21,1778,-4.25106
168,31,0,0.21125,1778,-4.25106
169,31,1,0.2125,1778,-4.25106
170,31,2,0.21375,1778,-4.25106
171,31,3,0.215,1779,-4.23598
172,31,4,0.21625,1779,-4.23598
173,31,5,0.2175,1779,-4.23598
174,31,6,0.21875,1779,-4.23598
175,31,7,0.22,1780,-4.2209
176,32,0,0.22125,1780,-4.2209
177,32,1,0.2225,1781,-4.20582
178,32,2,0.22375,1781,-4.20582
179,32,3,0.225,1782,-4.19074
180,32,4,0.22625,1782,-4.19074
181,32,5,0.2275,1783,-4.17566
182,32,6,0.22875,1782,-4.19074
183,32,7,0.23,1783,-4.17566
184,33,0,0.23125,1783,-4.17566
185,33,1,0.2325,1784,-4.16058
186,33,2,0.23375,1784,-4.16058
187,33,3,0.235,1785,-4.14551
188,33,4,0.23625,1785,-4.14551
189,33,5,0.2375,1785,-4.14551
190,33,6,0.23875,1786,-4.13043
191,33,7,0.24,1786,-4.13043
192,34,0,0.24125,1786,-4.13043
193,34,1,0.2425,1787,-4.11535
194,34,2,0.24375,1788,-4.10027
195,34,3,0.245,1788,-4.10027
196,34,4,0.24625,1788,-4.10027
197,34,5,0.2475,1789,-4.08519
198,34,6,0.24875,1789,-4.08519
199,34,7,0.25,1790,-4.07011
200,35,0,0.25125,1789,-4.08519
201,35,1,0.2525,1790,-4.07011
202,35,2,0.25375,1790,-4.07011
203,35,3,0.255,1791,-4.05504
204,35,4,0.25625,1792,-4.03996
205,35,5,0.2575,1791,-4.05504
206,35,6,0.25875,1792,-4.03996
207,35,7,0.26,1791,-4.05504
208,36,0,0.26125,1793,-4.02488
209,36,1,0.2625,1792,-4.03996
210,36,2,0.26375,1792,-4.03996
211,36,3,0.265,1793,-4.02488
212,36,4,0.26625,1793,-4.02488
213,36,5,0.2675,1794,-4.0098
214,36,6,0.26875,1795,-3.99472
215,36,7,0.27,1795,-3.99472
216,37,0,0.27125,1795,-3.99472
217,37,1,0.2725,1796,-3.97964
218,37,2,0.27375,1796,-3.97964
219,37,3,0.275,1798,-3.94949
220,37,4,0.27625,1797,-3.96457
221,37,5,0.2775,1798,-3.94949
222,37,6,0.27875,1799,-3.93441
223,37,7,0.28,1799,-3.93441
224,38,0,0.28125,1800,-3.91933
225,38,1,0.2825,1800,-3.91933
226,38,2,0.28375,1800,-3.91933
227,38,3,0.285,1801,-3.90425
228,38,4,0.28625,1802,-3.88917
229,38,5,0.2875,1802,-3.88917
230,38,6,0.28875,1802,-3.88917
231,38,7,0.29,1803,-3.8741
232,39,0,0.29125,1803,-3.8741
233,39,1,0.2925,1804,-3.85902
234,39,2,0.29375,1804,-3.85902
235,39,3,0.295,1805,-3.84394
236,39,4,0.29625,1805,-3.84394
237,39,5,0.2975,1806,-3.82886
238,39,6,0.29875,1806,-3.82886
239,39,7,0.3,1806,-3.82886
240,40,0,0.30125,1807,-3.81378
241,40,1,0.3025,1808,-3.7987
242,40,2,0.30375,1807,-3.81378
243,40,3,0.305,1808,-3.7987
244,40,4,0.30625,1808,-3.7987
245,40,5,0.3075,1809,-3.78362
246,40,6,0.30875,1809,-3.78362
247,40,7,0.31,1810,-3.76855
248,41,0,0.31125,1810,-3.76855
249,41,1,0.3125,1811,-3.75347
250,41,2,0.31375,1811,-3.75347
251,41,3,0.315,1812,-3.73839
252,41,4,0.31625,1812,-3.73839
253,41,5,0.3175,1813,-3.72331
254,41,6,0.31875,1813,-3.72331
255,41,7,0.32,1814,-3.70823
256,42,0,0.32125,1814,-3.70823
257,42,1,0.3225,1815,-3.69315
258,42,2,0.32375,1815,-3.69315
259,42,3,0.325,1816,-3.67808
260,42,4,0.32625,1816,-3.67808
261,42,5,0.3275,1818,-3.64792
262,42,6,0.32875,1818,-3.64792
263,42,7,0.33,1818,-3.64792
264,43,0,0.33125,1818,-3.64792
265,43,1,0.3325,1819,-3.63284
266,43,2,0.33375,1820,-3.61776
267,43,3,0.335,1820,-3.61776
268,43,4,0.33625,1820,-3.61776
269,43,5,0.3375,1821,-3.60268
270,43,6,0.33875,1821,-3.60268
271,43,7,0.34,1822,-3.58761
272,44,0,0.34125,1823,-3.57253
273,44,1,0.3425,1823,-3.57253
274,44,2,0.34375,1823,-3.57253
275,44,3,0.345,1824,-3.55745
276,44,4,0.34625,1824,-3.55745
277,44,5,0.3475,1825,-3.54237
278,44,6,0.34875,1825,-3.54237
279,44,7,0.35,1826,-3.52729
280,45,0,0.35125,1826,-3.52729
281,45,1,0.3525,1827,-3.51221
282,45,2,0.35375,1826,-3.52729
283,45,3,0.355,1827,-3.51221
284,45,4,0.35625,1828,-3.49713
285,45,5,0.3575,1829,-3.48206
286,45,6,0.35875,1829,-3.48206
287,45,7,0.36,1830,-3.46698
288,46,0,0.36125,1830,-3.46698
289,46,1,0.3625,1831,-3.4519
290,46,2,0.36375,1831,-3.4519
291,46,3,0.365,1832,-3.43682
292,46,4,0.36625,1832,-3.43682
293,46,5,0.3675,1833,-3.42174
294,46,6,0.36875,1832,-3.43682
295,46,7,0.37,1834,-3.40666
296,47,0,0.37125,1834,-3.40666
297,47,1,0.3725,1834,-3.40666
298,47,2,0.37375,1834,-3.40666
299,47,3,0.375,1835,-3.39159
300,47,4,0.37625,1835,-3.39159
301,47,5,0.3775,1837,-3.36143
302,47,6,0.37875,1837,-3.36143
303,47,7,0.38,1837,-3.36143
304,48,0,0.38125,1838,-3.34635
305,48,1,0.3825,1839,-3.33127
306,48,2,0.38375,1838,-3.34635
307,48,3,0.385,1840,-3.31619
308,48,4,0.38625,1839,-3.33127
309,48,5,0.3875,1840,-3.31619
310,48,6,0.38875,1840,-3.31619
311,48,7,0.39,1841,-3.30112
312,49,0,0.39125,1842,-3.28604
313,49,1,0.3925,1842,-3.28604
314,49,2,0.39375,1842,-3.28604
315,49,3,0.395,1843,-3.27096
316,49,4,0.39625,1844,-3.25588
