index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125,2062,0.0312123
1,10,1,0.0025,2063,0.0462907
2,10,2,0.00375,2063,0.0462907
3,10,3,0.005,2063,0.0462907
4,10,4,0.00625,2062,0.0312123
5,10,5,0.0075,2063,0.0462907
6,10,6,0.00875,2063,0.0462907
7,10,7,0.01,2063,0.0462907
8,10,8,0.01125,2062,0.0312123
9,10,9,0.0125,2063,0.0462907
10,10,10,0.01375,2062,0.0312123
11,10,11,0.015,2063,0.0462907
12,11,0,0.01625,2062,0.0312123
13,11,1,0.0175,2063,0.0462907
14,11,2,0.01875,2063,0.0462907
15,11,3,0.02,2063,0.0462907
16,11,4,0.02125,2062,0.0312123
17,11,5,0.0225,2063,0.0462907
18,11,6,0.02375,2063,0.0462907
19,11,7,0.025,2063,0.0462907
20,11,8,0.02625,2062,0.0312123
21,11,9,0.0275,2063,0.0462907
22,11,10,0.02875,2062,0.0312123
23,11,11,0.03,2063,0.0462907
24,12,0,0.03125,2062,0.0312123
25,12,1,0.0325,2063,0.0462907
26,13,0,0.03375,2063,0.0462907
27,13,1,0.035,2063,0.0462907
28,13,2,0.03625,2063,0.0462907
29,13,3,0.0375,2063,0.0462907
30,13,4,0.03875,2062,0.0312123
31,13,5,0.04,2063,0.0462907
32,13,6,0.04125,2062,0.0312123
33,13,7,0.0425,2063,0.0462907
34,14,0,0.04375,2063,0.0462907
35,14,1,0.045,2062,0.0312123
36,14,2,0.04625,2063,0.0462907
37,14,3,0.0475,2063,0.0462907
38,14,4,0.04875,2063,0.0462907
39,14,5,0.05,2062,0.0312123
40,14,6,0.05125,2062,0.0312123
41,14,7,0.0525,2063,0.0462907
42,15,0,0.05375,2062,0.0312123
43,15,1,0.055,2063,0.0462907
44,15,2,0.05625,2063,0.0462907
45,15,3,0.0575,2063,0.0462907
46,15,4,0.05875,2062,0.0312123
47,15,5,0.06,2063,0.0462907
48,15,6,0.06125,2063,0.0462907
49,15,7,0.0625,2063,0.0462907
50,16,0,0.06375,2062,0.0312123
51,16,1,0.065,2063,0.0462907
52,16,2,0.06625,2063,0.0462907
53,16,3,0.0675,2063,0.0462907
54,16,4,0.06875,2063,0.0462907
55,16,5,0.07,2063,0.0462907
56,16,6,0.07125,2063,0.0462907
57,16,7,0.0725,2063,0.0462907
58,17,0,0.07375,2062,0.0312123
59,17,1,0.075,2063,0.0462907
60,17,2,0.07625,2063,0.0462907
61,17,3,0.0775,2063,0.0462907
62,17,4,0.07875,2062,0.0312123
63,17,5,0.08,2063,0.0462907
64,17,6,0.08125,2062,0.0312123
65,17,7,0.0825,2063,0.0462907
66,18,0,0.08375,2062,0.0312123
67,18,1,0.085,2063,0.0462907
68,18,2,0.08625,2063,0.0462907
69,18,3,0.0875,2063,0.0462907
70,18,4,0.08875,2063,0.0462907
71,18,5,0.09,2063,0.0462907
72,18,6,0.09125,2062,0.0312123
73,18,7,0.0925,2063,0.0462907
74,19,0,0.09375,2062,0.0312123
75,19,1,0.095,2063,0.0462907
76,19,2,0.09625,2062,0.0312123
77,19,3,0.0975,2063,0.0462907
78,19,4,0.09875,2062,0.0312123
79,19,5,0.1,2063,0.0462907
80,19,6,0.10125,2063,0.0462907
81,19,7,0.1025,2063,0.0462907
82,20,0,0.10375,2063,0.0462907
83,20,1,0.105,2063,0.0462907
84,20,2,0.10625,2063,0.0462907
85,20,3,0.1075,2063,0.0462907
86,20,4,0.10875,2063,0.0462907
87,20,5,0.11,2062,0.0312123
88,20,6,0.11125,2063,0.0462907
89,20,7,0.1125,2063,0.0462907
90,21,0,0.11375,2063,0.0462907
91,21,1,0.115,2063,0.0462907
92,21,2,0.11625,2063,0.0462907
93,21,3,0.1175,2063,0.0462907
94,21,4,0.11875,2062,0.0312123
95,21,5,0.12,2062,0.0312123
96,21,6,0.12125,2063,0.0462907
97,21,7,0.1225,2063,0.0462907
98,22,0,0.12375,2063,0.0462907
99,22,1,0.125,2063,0.0462907
100,22,2,0.12625,2063,0.0462907
101,22,3,0.1275,2063,0.0462907
102,22,4,0.12875,2063,0.0462907
103,22,5,0.13,2063,0.0462907
104,22,6,0.13125,2063,0.0462907
105,22,7,0.1325,2063,0.0462907
106,23,0,0.13375,2062,0.0312123
107,23,1,0.135,2062,0.0312123
108,23,2,0.13625,2063,0.0462907
109,23,3,0.1375,2063,0.0462907
110,23,4,0.13875,2062,0.0312123
111,23,5,0.14,2063,0.0462907
112,23,6,0.14125,2063,0.0462907
113,23,7,0.1425,2063,0.0462907
114,24,0,0.14375,2063,0.0462907
115,24,1,0.145,2063,0.0462907
116,24,2,0.14625,2062,0.0312123
117,24,3,0.1475,2062,0.0312123
118,24,4,0.14875,2062,0.0312123
119,24,5,0.15,2063,0.0462907
120,24,6,0.15125,2062,0.0312123
121,24,7,0.1525,2063,0.0462907
122,25,0,0.15375,2062,0.0312123
123,25,1,0.155,2063,0.0462907
124,25,2,0.15625,2063,0.0462907
125,25,3,0.1575,2063,0.0462907
126,25,4,0.15875,2063,0.0462907
127,25,5,0.16,2063,0.0462907
128,25,6,0.16125,2062,0.0312123
129,25,7,0.1625,2063,0.0462907
130,26,0,0.16375,2063,0.0462907
131,26,1,0.165,2063,0.0462907
132,26,2,0.16625,2062,0.0312123
133,26,3,0.1675,2063,0.0462907
134,26,4,0.16875,2063,0.0462907
135,26,5,0.17,2063,0.0462907
136,26,6,0.17125,2063,0.0462907
137,26,7,0.1725,2063,0.0462907
138,27,0,0.17375,2062,0.0312123
139,27,1,0.175,2063,0.0462907
140,27,2,0.17625,2063,0.0462907
141,27,3,0.1775,2063,0.0462907
142,27,4,0.17875,2063,0.0462907
143,27,5,0.18,2063,0.0462907
144,27,6,0.18125,2062,0.0312123
145,27,7,0.1825,2063,0.0462907
146,28,0,0.18375,2062,0.0312123
147,28,1,0.185,2062,0.0312123
148,28,2,0.18625,2062,0.0312123
149,28,3,0.1875,2063,0.0462907
150,28,4,0.18875,2062,0.0312123
151,28,5,0.19,2063,0.0462907
152,28,6,0.19125,2062,0.0312123
153,28,7,0.1925,2063,0.0462907
154,29,0,0.19375,2062,0.0312123
155,29,1,0.195,2062,0.0312123
156,29,2,0.19625,2063,0.0462907
157,29,3,0.1975,2062,0.0312123
158,29,4,0.19875,2062,0.0312123
159,29,5,0.2,2063,0.0462907
160,29,6,0.20125,2062,0.0312123
161,29,7,0.2025,2063,0.0462907
162,30,0,0.20375,2062,0.0312123
163,30,1,0.205,2062,0.0312123
164,30,2,0.20625,2063,0.0462907
165,30,3,0.2075,2063,0.0462907
166,30,4,0.20875,2062,0.0312123
167,30,5,0.21,2062,0.0312123
168,30,6,0.21125,2062,0.0312123
169,30,7,0.2125,2062,0.0312123
170,31,0,0.21375,2062,0.0312123
171,31,1,0.215,2063,0.0462907
172,31,2,0.21625,2062,0.0312123
173,31,3,0.2175,2063,0.0462907
174,31,4,0.21875,2062,0.0312123
175,31,5,0.22,2062,0.0312123
176,31,6,0.22125,2062,0.0312123
177,31,7,0.2225,2062,0.0312123
178,32,0,0.22375,2062,0.0312123
179,32,1,0.225,2062,0.0312123
180,32,2,0.22625,2062,0.0312123
181,32,3,0.2275,2063,0.0462907
182,32,4,0.22875,2063,0.0462907
183,32,5,0.23,2062,0.0312123
184,32,6,0.23125,2062,0.0312123
185,32,7,0.2325,2063,0.0462907
186,33,0,0.23375,2063,0.0462907
187,33,1,0.235,2063,0.0462907
188,33,2,0.23625,2062,0.0312123
189,33,3,0.2375,2063,0.0462907
190,33,4,0.23875,2063,0.0462907
191,33,5,0.24,2063,0.0462907
192,33,6,0.24125,2062,0.0312123
193,33,7,0.2425,2063,0.0462907
194,34,0,0.24375,2063,0.0462907
195,34,1,0.245,2063,0.0462907
196,34,2,0.24625,2063,0.0462907
197,34,3,0.2475,2063,0.0462907
198,34,4,0.24875,2063,0.0462907
199,34,5,0.25,2063,0.0462907
200,34,6,0.25125,2063,0.0462907
201,34,7,0.2525,2063,0.0462907
202,35,0,0.25375,2063,0.0462907
203,35,1,0.255,2063,0.0462907
204,35,2,0.25625,2063,0.0462907
205,35,3,0.2575,2063,0.0462907
206,35,4,0.25875,2063,0.0462907
207,35,5,0.26,2063,0.0462907
208,35,6,0.26125,2063,0.0462907
209,35,7,0.2625,2063,0.0462907
210,36,0,0.26375,2063,0.0462907
211,36,1,0.265,2063,0.0462907
212,36,2,0.26625,2063,0.0462907
213,36,3,0.2675,2063,0.0462907
214,36,4,0.26875,2062,0.0312123
215,36,5,0.27,2063,0.0462907
216,36,6,0.27125,2063,0.0462907
217,36,7,0.2725,2063,0.0462907
218,37,0,0.27375,2063,0.0462907
219,37,1,0.275,2063,0.0462907
220,37,2,0.27625,2062,0.0312123
221,37,3,0.2775,2063,0.0462907
222,37,4,0.27875,2063,0.0462907
223,37,5,0.28,2063,0.0462907
224,37,6,0.28125,2062,0.0312123
225,37,7,0.2825,2063,0.0462907
226,38,0,0.28375,2062,0.0312123
227,38,1,0.285,2063,0.0462907
228,38,2,0.28625,2063,0.0462907
229,38,3,0.2875,2063,0.0462907
230,38,4,0.28875,2063,0.0462907
231,38,5,0.29,2063,0.0462907
232,38,6,0.29125,2063,0.0462907
233,38,7,0.2925,2063,0.0462907
234,39,0,0.29375,2063,0.0462907
235,39,1,0.295,2063,0.0462907
236,39,2,0.29625,2062,0.0312123
237,39,3,0.2975,2063,0.0462907
238,39,4,0.29875,2062,0.0312123
239,39,5,0.3,2062,0.0312123
240,39,6,0.30125,2062,0.0312123
241,39,7,0.3025,2063,0.0462907
242,40,0,0.30375,2062,0.0312123
243,40,1,0.305,2063,0.0462907
244,40,2,0.30625,2063,0.0462907
245,40,3,0.3075,2063,0.0462907
246,40,4,0.30875,2062,0.0312123
247,40,5,0.31,2063,0.0462907
248,40,6,0.31125,2062,0.0312123
249,40,7,0.3125,2063,0.0462907
250,41,0,0.31375,2062,0.0312123
251,41,1,0.315,2063,0.0462907
252,41,2,0.31625,2063,0.0462907
253,41,3,0.3175,2063,0.0462907
254,41,4,0.31875,2062,0.0312123
255,41,5,0.32,2063,0.0462907
256,41,6,0.32125,2063,0.0462907
257,41,7,0.3225,2063,0.0462907
258,42,0,0.32375,2062,0.0312123
259,42,1,0.325,2063,0.0462907
260,42,2,0.32625,2063,0.0462907
261,42,3,0.3275,2063,0.0462907
262,42,4,0.32875,2063,0.0462907
263,42,5,0.33,2063,0.0462907
264,42,6,0.33125,2062,0.0312123
265,42,7,0.3325,2063,0.0462907
266,43,0,0.33375,2063,0.0462907
267,43,1,0.335,2062,0.0312123
268,43,2,0.33625,2062,0.0312123
269,43,3,0.3375,2062,0.0312123
270,43,4,0.33875,2062,0.0312123
271,43,5,0.34,2062,0.0312123
272,43,6,0.34125,2062,0.0312123
273,43,7,0.3425,2063,0.0462907
274,44,0,0.34375,2062,0.0312123
275,44,1,0.345,2063,0.0462907
276,44,2,0.34625,2062,0.0312123
277,44,3,0.3475,2062,0.0312123
278,44,4,0.34875,2062,0.0312123
279,44,5,0.35,2063,0.0462907
280,44,6,0.35125,2063,0.0462907
281,44,7,0.3525,2063,0.0462907
282,45,0,0.35375,2063,0.0462907
283,45,1,0.355,2063,0.0462907
284,45,2,0.35625,2062,0.0312123
285,45,3,0.3575,2063,0.0462907
286,45,4,0.35875,2062,0.0312123
287,45,5,0.36,2062,0.0312123
288,45,6,0.36125,2062,0.0312123
289,45,7,0.3625,2063,0.0462907
290,46,0,0.36375,2063,0.0462907
291,46,1,0.365,2062,0.0312123
292,46,2,0.36625,2062,0.0312123
293,46,3,0.3675,2063,0.0462907
294,46,4,0.36875,2062,0.0312123
295,46,5,0.37,2063,0.0462907
296,46,6,0.37125,2062,0.0312123
297,46,7,0.3725,2063,0.0462907
298,47,0,0.37375,2063,0.0462907
299,47,1,0.375,2063,0.0462907
300,47,2,0.37625,2062,0.0312123
301,47,3,0.3775,2063,0.0462907
302,47,4,0.37875,2062,0.0312123
303,47,5,0.38,2063,0.0462907
304,47,6,0.38125,2062,0.0312123
305,47,7,0.3825,2063,0.0462907
306,48,0,0.38375,2063,0.0462907
307,48,1,0.385,2062,0.0312123
308,48,2,0.38625,2062,0.0312123
309,48,3,0.3875,2063,0.0462907
310,48,4,0.38875,2063,0.0462907
311,48,5,0.39,2063,0.0462907
312,48,6,0.39125,2062,0.0312123
313,48,7,0.3925,2063,0.0462907
314,49,0,0.39375,2062,0.0312123
315,49,1,0.395,2063,0.0462907
316,49,2,0.39625,2063,0.0462907
317,49,3,0.3975,2063,0.0462907
318,49,4,0.39875,2063,0.0462907
319,49,5,0.4,2063,0.0462907
320,49,6,0.40125,2063,0.0462907
321,49,7,0.4025,2063,0.0462907
322,50,0,0.40375,2063,0.0462907
323,50,1,0.405,2063,0.0462907
324,50,2,0.40625,2062,0.0312123
325,50,3,0.4075,2063,0.0462907
326,50,4,0.40875,2062,0.0312123
327,50,5,0.41,2062,0.0312123
328,50,6,0.41125,2062,0.0312123
329,50,7,0.4125,2063,0.0462907
330,51,0,0.41375,2062,0.0312123
331,51,1,0.415,2063,0.0462907
332,51,2,0.41625,2063,0.0462907
333,51,3,0.4175,2063,0.0462907
334,51,4,0.41875,2063,0.0462907
335,51,5,0.42,2063,0.0462907
336,51,6,0.42125,2063,0.0462907
337,51,7,0.4225,2062,0.0312123
338,52,0,0.42375,2062,0.0312123
339,52,1,0.425,2063,0.0462907
340,52,2,0.42625,2062,0.0312123
341,52,3,0.4275,2063,0.0462907
342,52,4,0.42875,2062,0.0312123
343,52,5,0.43,2063,0.0462907
344,52,6,0.43125,2063,0.0462907
345,52,7,0.4325,2063,0.0462907
346,53,0,0.43375,2062,0.0312123
347,53,1,0.435,2063,0.0462907
348,53,2,0.43625,2063,0.0462907
349,53,3,0.4375,2063,0.0462907
350,53,4,0.43875,2063,0.0462907
351,53,5,0.44,2063,0.0462907
352,53,6,0.44125,2062,0.0312123
353,53,7,0.4425,2063,0.0462907
354,54,0,0.44375,2063,0.0462907
355,54,1,0.445,2063,0.0462907
356,54,2,0.44625,2063,0.0462907
357,54,3,0.4475,2063,0.0462907
358,54,4,0.44875,2063,0.0462907
359,54,5,0.45,2063,0.0462907
360,54,6,0.45125,2063,0.0462907
361,54,7,0.4525,2063,0.0462907
362,55,0,0.45375,2062,0.0312123
363,55,1,0.455,2063,0.0462907
364,55,2,0.45625,2063,0.0462907
365,55,3,0.4575,2063,0.0462907
366,55,4,0.45875,2063,0.0462907
367,55,5,0.46,2063,0.0462907
368,55,6,0.46125,2063,0.0462907
369,55,7,0.4625,2063,0.0462907
370,56,0,0.46375,2063,0.0462907
371,56,1,0.465,2063,0.0462907
372,56,2,0.46625,2063,0.0462907
373,56,3,0.4675,2063,0.0462907
374,56,4,0.46875,2063,0.0462907
375,56,5,0.47,2063,0.0462907
376,56,6,0.47125,2063,0.0462907
377,56,7,0.4725,2063,0.0462907
378,57,0,0.47375,2062,0.0312123
379,57,1,0.475,2063,0.0462907
380,57,2,0.47625,2063,0.0462907
381,57,3,0.4775,2063,0.0462907
382,57,4,0.47875,2063,0.0462907
383,57,5,0.48,2063,0.0462907
384,57,6,0.48125,2063,0.0462907
385,57,7,0.4825,2063,0.0462907
386,58,0,0.48375,2062,0.0312123
387,58,1,0.485,2063,0.0462907
388,58,2,0.48625,2062,0.0312123
389,58,3,0.4875,2063,0.0462907
390,58,4,0.48875,2063,0.0462907
391,58,5,0.49,2063,0.0462907
392,58,6,0.49125,2062,0.0312123
393,58,7,0.4925,2063,0.0462907
394,59,0,0.49375,2062,0.0312123
395,59,1,0.495,2063,0.0462907
396,59,2,0.49625,2062,0.0312123
397,59,3,0.4975,2063,0.0462907
398,59,4,0.49875,2062,0.0312123
399,59,5,0.5,2063,0.0462907
400,59,6,0.50125,2063,0.0462907
401,59,7,0.5025,2063,0.0462907
402,60,0,0.50375,2062,0.0312123
403,60,1,0.505,2063,0.0462907
404,60,2,0.50625,2062,0.0312123
405,60,3,0.5075,2063,0.0462907
406,60,4,0.50875,2062,0.0312123
407,60,5,0.51,2063,0.0462907
408,60,6,0.51125,2062,0.0312123
409,60,7,0.5125,2062,0.0312123
410,61,0,0.51375,2062,0.0312123
411,61,1,0.515,2062,0.0312123
412,61,2,0.51625,2062,0.0312123
413,61,3,0.5175,2063,0.0462907
414,61,4,0.51875,2063,0.0462907
415,61,5,0.52,2063,0.0462907
