index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125015,1783,-4.17566
1,10,1,0.00250029,1783,-4.17566
2,10,2,0.00375044,1783,-4.17566
3,10,3,0.00500059,1783,-4.17566
4,10,4,0.00625074,1782,-4.19074
5,10,5,0.00750088,1783,-4.17566
6,10,6,0.00875103,1782,-4.19074
7,10,7,0.0100012,1781,-4.20582
8,11,0,0.0112513,1781,-4.20582
9,11,1,0.0125015,1782,-4.19074
10,11,2,0.0137516,1781,-4.20582
11,11,3,0.0150018,1781,-4.20582
12,11,4,0.0162519,1780,-4.2209
13,11,5,0.0175021,1781,-4.20582
14,11,6,0.0187522,1780,-4.2209
15,11,7,0.0200024,1780,-4.2209
16,12,0,0.0212525,1780,-4.2209
17,12,1,0.0225026,1781,-4.20582
18,12,2,0.0237528,1780,-4.2209
19,12,3,0.0250029,1780,-4.2209
20,12,4,0.0262531,1780,-4.2209
21,12,5,0.0275032,1780,-4.2209
22,12,6,0.0287534,1779,-4.23598
23,12,7,0.0300035,1779,-4.23598
24,13,0,0.0312537,1779,-4.23598
25,13,1,0.0325038,1780,-4.2209
26,13,2,0.033754,1779,-4.23598
27,13,3,0.0350041,1779,-4.23598
28,13,4,0.0362543,1779,-4.23598
29,13,5,0.0375044,1779,-4.23598
30,13,6,0.0387546,1779,-4.23598
31,13,7,0.0400047,1779,-4.23598
32,14,0,0.0412549,1778,-4.25106
33,14,1,0.042505,1779,-4.23598
34,14,2,0.0437552,1778,-4.25106
35,14,3,0.0450053,1778,-4.25106
36,14,4,0.0462554,1778,-4.25106
37,14,5,0.0475056,1778,-4.25106
38,14,6,0.0487557,1778,-4.25106
39,14,7,0.0500059,1778,-4.25106
40,15,0,0.051256,1779,-4.23598
41,15,1,0.0525062,1779,-4.23598
42,15,2,0.0537563,1778,-4.25106
43,15,3,0.0550065,1778,-4.25106
44,15,4,0.0562566,1778,-4.25106
45,15,5,0.0575068,1778,-4.25106
46,15,6,0.0587569,1778,-4.25106
47,15,7,0.0600071,1779,-4.23598
48,16,0,0.0612572,1778,-4.25106
49,16,1,0.0625074,1779,-4.23598
50,16,2,0.0637575,1779,-4.23598
51,16,3,0.0650077,1779,-4.23598
52,16,4,0.0662578,1779,-4.23598
53,16,5,0.0675079,1780,-4.2209
54,16,6,0.0687581,1779,-4.23598
55,16,7,0.0700082,1780,-4.2209
56,17,0,0.0712584,1780,-4.2209
57,17,1,0.0725085,1780,-4.2209
58,17,2,0.0737587,1780,-4.2209
59,17,3,0.0750088,1780,-4.2209
60,17,4,0.076259,1780,-4.2209
61,17,5,0.0775091,1780,-4.2209
62,17,6,0.0787593,1780,-4.2209
63,17,7,0.0800094,1781,-4.20582
64,18,0,0.0812596,1781,-4.20582
65,18,1,0.0825097,1781,-4.20582
66,18,2,0.0837599,1781,-4.20582
67,18,3,0.08501,1781,-4.20582
68,18,4,0.0862602,1782,-4.19074
69,18,5,0.0875103,1782,-4.19074
70,18,6,0.0887605,1782,-4.19074
71,18,7,0.0900106,1783,-4.17566
72,19,0,0.0912607,1782,-4.19074
73,19,1,0.0925109,1783,-4.17566
74,19,2,0.093761,1783,-4.17566
75,19,3,0.0950112,1783,-4.17566
76,19,4,0.0962613,1783,-4.17566
77,19,5,0.0975115,1784,-4.16058
78,19,6,0.0987616,1783,-4.17566
79,19,7,0.100012,1784,-4.16058
80,20,0,0.101262,1784,-4.16058
81,20,1,0.102512,1785,-4.14551
82,20,2,0.103762,1785,-4.14551
83,20,3,0.105012,1785,-4.14551
84,20,4,0.106263,1785,-4.14551
85,20,5,0.107513,1786,-4.13043
86,20,6,0.108763,1786,-4.13043
87,20,7,0.110013,1786,-4.13043
88,21,0,0.111263,1787,-4.11535
89,21,1,0.112513,1787,-4.11535
90,21,2,0.113763,1787,-4.11535
91,21,3,0.115014,1788,-4.10027
92,21,4,0.116264,1788,-4.10027
93,21,5,0.117514,1789,-4.08519
94,21,6,0.118764,1789,-4.08519
95,21,7,0.120014,1790,-4.07011
96,22,0,0.121264,1789,-4.08519
97,22,1,0.122514,1790,-4.07011
98,22,2,0.123765,1791,-4.05504
99,22,3,0.125015,1790,-4.07011
100,22,4,0.126265,1791,-4.05504
101,22,5,0.127515,1791,-4.05504
102,22,6,0.128765,1791,-4.05504
103,22,7,0.130015,1792,-4.03996
