index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.0012485,-208,-0.0108487,-8628,-10.2989,284,0.211343
1,10,1,0.002497,-200,-0.00124807,-8640,-10.3134,256,0.177933
2,10,2,0.00374551,-184,0.0179532,-8728,-10.4198,344,0.282936
3,10,3,0.00499401,-184,0.0179532,-8712,-10.4005,308,0.23998
4,10,4,0.00624251,-160,0.046755,-8696,-10.3811,308,0.23998
5,10,5,0.00749101,-192,0.00835254,-8720,-10.4102,284,0.211343
6,10,6,0.00873951,-168,0.0371544,-8744,-10.4392,256,0.177933
7,10,7,0.00998802,-192,0.00835254,-8780,-10.4827,288,0.216116
8,10,8,0.0112365,-176,0.0275538,-8780,-10.4827,264,0.187478
9,10,9,0.012485,-192,0.00835254,-8832,-10.5456,280,0.20657
10,10,10,0.0137335,-168,0.0371544,-8864,-10.5844,300,0.230434
11,10,11,0.014982,-184,0.0179532,-8888,-10.6134,292,0.220888
12,11,0,0.0162305,-208,-0.0108487,-8628,-10.2989,284,0.211343
13,11,1,0.017479,-200,-0.00124807,-8640,-10.3134,256,0.177933
14,11,2,0.0187275,-184,0.0179532,-8728,-10.4198,344,0.282936
15,11,3,0.019976,-184,0.0179532,-8712,-10.4005,308,0.23998
16,11,4,0.0212245,-160,0.046755,-8696,-10.3811,308,0.23998
17,11,5,0.022473,-192,0.00835254,-8720,-10.4102,284,0.211343
18,11,6,0.0237215,-168,0.0371544,-8744,-10.4392,256,0.177933
19,11,7,0.02497,-192,0.00835254,-8780,-10.4827,288,0.216116
20,11,8,0.0262185,-176,0.0275538,-8780,-10.4827,264,0.187478
21,11,9,0.027467,-192,0.00835254,-8832,-10.5456,280,0.20657
22,11,10,0.0287155,-168,0.0371544,-8864,-10.5844,300,0.230434
23,11,11,0.029964,-184,0.0179532,-8888,-10.6134,292,0.220888
24,12,0,0.0312125,-200,-0.00124807,-9924,-11.8667,328,0.263844
